,Country,White Shark (Y/N),Fatal (Y/N)
1448,REUNION,Other,N
1449,USA,Other,N
1450,USA,White Shark,N
1451,USA,Other,N
1453,SOUTH AFRICA,White Shark,N
1454,USA,Other,N
1455,USA,Other,N
1457,USA,Other,N
1460,BRAZIL,Other,Y
1463,USA,Other,N
1465,USA,Other,N
1466,USA,Other,N
1470,USA,Other,N
1473,USA,Other,N
1474,USA,Other,N
1475,AUSTRALIA,White Shark,N
1476,USA,Other,N
1477,USA,Other,N
1479,USA,Other,N
1481,USA,Other,N
1484,AUSTRALIA,Other,N
1488,USA,Other,N
1489,AUSTRALIA,Other,N
1490,SOUTH AFRICA,Other,N
1491,BRAZIL,Other,N
1493,Sierra Leone,Other,Y
1494,USA,Other,N
1496,FIJI,Other,N
1497,AUSTRALIA,Other,N
1498,USA,Other,N
1502,AUSTRALIA,White Shark,N
1503,SOUTH AFRICA,Other,N
1504,TONGA,Other,Y
1505,USA,Other,N
1506,ATLANTIC OCEAN,Other,N
1510,AUSTRALIA,White Shark,N
1512,AUSTRALIA,Other,Y
1513,USA,Other,N
1514,SOUTH AFRICA,Other,N
1515,USA,White Shark,N
1516,USA,Other,N
1517,ATLANTIC OCEAN,Other,N
1518,AUSTRALIA,White Shark,N
1519,AUSTRALIA,White Shark,N
1521,USA,Other,N
1522,AUSTRALIA,White Shark,N
1523,AUSTRALIA,Other,N
1526,USA,Other,N
1528,NEW CALEDONIA,White Shark,N
1529,SOUTH AFRICA,Other,N
1530,USA,Other,N
1532,USA,White Shark,N
1533,USA,Other,N
1534,ST. MAARTIN,Other,N
1535,SOUTH AFRICA,Other,N
1536,USA,White Shark,N
1537,USA,White Shark,N
1539,USA,Other,N
1540,GRAND CAYMAN,Other,N
1543,SOUTH AFRICA,White Shark,N
1544,AUSTRALIA,Other,N
1545,AUSTRALIA,White Shark,N
1546,AUSTRALIA,Other,N
1548,USA,Other,N
1551,USA,Other,N
1552,AUSTRALIA,White Shark,N
1554,THAILAND,Other,Y
1555,AUSTRALIA,White Shark,Y
1556,USA,White Shark,N
1558,USA,Other,N
1561,USA,Other,N
1568,CHINA,Other,N
1570,USA,Other,N
1571,USA,Other,N
1573,USA,Other,N
1574,USA,Other,Y
1575,VANUATU,Other,Y
1578,USA,Other,N
1579,SOUTH KOREA,White Shark,N
1582,SOUTH AFRICA,White Shark,Y
1584,USA,Other,N
1585,USA,Other,N
1586,SOUTH AFRICA,Other,N
1587,AUSTRALIA,Other,N
1588,USA,Other,N
1589,MADAGASCAR,Other,N
1591,USA,Other,N
1592,AUSTRALIA,Other,N
1594,AUSTRALIA,Other,N
1595,AUSTRALIA,Other,N
1596,USA,Other,N
1599,USA,Other,N
1601,SOUTH AFRICA,Other,N
1604,AUSTRALIA,White Shark,Y
1605,USA,Other,N
1607,NEW ZEALAND,Other,N
1609,AUSTRALIA,Other,N
1610,USA,Other,N
1611,USA,Other,N
1612,USA,Other,N
1614,CUBA,Other,N
1615,AUSTRALIA,Other,N
1616,AUSTRALIA,Other,N
1617,NEW ZEALAND,White Shark,N
1619,AUSTRALIA,White Shark,Y
1620,AUSTRALIA,Other,Y
1621,SOUTH AFRICA,Other,N
1622,SOUTH AFRICA,Other,N
1623,SOUTH AFRICA,White Shark,Y
1624,USA,White Shark,N
1626,NEW CALEDONIA,Other,N
1627,CUBA,Other,N
1629,SOUTH AFRICA,White Shark,N
1630,AUSTRALIA,Other,N
1631,USA,White Shark,N
1632,USA,Other,N
1633,SOUTH AFRICA,Other,N
1634,REUNION,Other,N
1637,AUSTRALIA,Other,N
1638,USA,White Shark,N
1641,USA,Other,N
1643,BRAZIL,Other,N
1644,USA,White Shark,N
1645,USA,White Shark,Y
1646,USA,Other,N
1648,SOUTH AFRICA,White Shark,N
1650,RUSSIA,White Shark,N
1652,USA,Other,N
1653,USA,Other,N
1654,USA,Other,N
1655,AUSTRALIA,White Shark,N
1656,JAPAN,Other,N
1657,AUSTRALIA,Other,Y
1658,EGYPT,Other,N
1659,USA,Other,N
1660,USA,White Shark,N
1663,AUSTRALIA,Other,N
1664,USA,Other,N
1665,SOUTH AFRICA,White Shark,Y
1666,USA,Other,N
1667,BRAZIL,Other,N
1668,USA,Other,N
1673,BAHAMAS,Other,N
1674,USA,Other,N
1676,AUSTRALIA,Other,N
1677,NEW ZEALAND,White Shark,N
1678, TONGA,Other,Y
1679, TONGA,Other,Y
1680,USA,Other,Y
1681,SOUTH AFRICA,White Shark,N
1684,USA,Other,N
1685,BRAZIL,Other,N
1686,USA,Other,N
1687,REUNION,Other,N
1689,USA,Other,N
